PubChem_CID,Structure_SMILES,predicted_pIC50
636430,Nc1ncnc2c1ncn2C1OC(COS(=O)(=O)NC(=O)c2ccccc2O)C(O)C1O,21.190815
9833444,CSCCC(NC(=O)C(Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)C(N)CC(=O)O)C(=O)NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,20.968843
135365291,O=S(=O)(O)ON=C(Cc1c[nH]c2ccccc12)SC1OC(CO)C(O)C(O)C1O,20.929459
656576,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)O)C3SC2)cc1,20.56316
656575,NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)O)C3SC2)cc1,20.56316
3695590,CC1CC(=O)NN=C1c1ccc(NCCO)c([N+](=O)[O-])c1,20.222145
10098124,CC12CCC(=O)C=C1NCC1C2CCC2(C)C(C(=O)NC(c3ccc(F)cc3)c3ccc(F)cc3)CCC12,20.214386
57514697,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)[O-])C3SC2)cc1,20.181847
11225648,Nc1ncnc2c1ncn2C1OC(COS(=O)(=O)NC(=O)C(N)Cc2ccccc2)C(O)C1O,20.080051
52945924,Cc1cc(CNCCCCC(Nc2ccc(F)c(C)c2)C(=O)NO)ccc1F,19.999731
67184933,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CC2CCC2)C(=O)CO)c1,19.962645
9574101,CCOC(=O)CNC(C(=O)N1CCC1C(=O)NCc1ccc(C(N)=NO)cc1)C1CCCCC1,19.727762
90443243,CC(C)N1CCN(C(=O)c2cc(-c3ccc(CC(C#N)NC(=O)C4NC5CCC4C5)c(F)c3)cs2)CC1,19.67136
146371168,Cc1cc(CNC(=O)c2cc(CNC3=NCCC3)cc(-c3ccc(F)nc3C)c2)ccc1Cl,19.666138
656644,NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)[O-])C3SC2)cc1,19.640875
118373769,NC(C(=O)Nc1cncc(F)c1CCC1CNC2CCCS(=O)(=O)N1C2)C(c1ccc(Cl)cc1)c1cc(F)cc(F)c1,19.638393
68078590,CNCC(Nc1ncnc2c1=CCCC=2C(N)=O)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2)c1,19.617067
6917685,CS(=O)(=O)CCC(N)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,19.616043
54682237,O=C(NCc1ccc(F)cc1)c1nc2n(c(=O)c1O)CCCCC2,19.610256
86566743,NS(=O)(=O)OCC1CC(Nc2ncncc2C(=O)c2ccn(Cc3cccc(Br)c3)n2)CC1O,19.584824
124184954,CN1C(=O)C2(CCNCC2)c2cc(-c3ccc(CC(C#N)NC(=O)C4NC5CCC4C5)c(F)c3)ccc21,19.544338
11325896,Cc1c(N2CCC(C(C)N)C2)c(F)cc2c(=O)n(N)c(=O)n(C3CC3)c12,19.50638
54582965,Cc1cc(NC(CCCCNCc2ccc(Cl)cc2)C(=O)NO)ccc1F,19.493013
10370345,CC12CCC(=O)C=C1NCC1C2CCC2(C)C(C(=O)NC(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CCC12,19.490944
146456303,Cc1cc(F)ccc1-c1cc(CNC2=NCCC2)cc(C(=O)NCc2ccc(Cl)c(Cl)c2)n1,19.490929
10326035,COc1ccc(C2=NN(C3CCCCCC3)C(=O)C3CC=CCC23)cc1OCCCCCCOc1ccc(C(N)=O)cc1,19.482506
21842373,Cc1cc(Cn2cnc3c2CC(C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N,19.46393
138393372,Nc1ccc(-c2cc(Cl)c(Cl)c3[nH]c4c(c23)CN(C(=O)CO)CC4)cn1,19.445091
44543082,Cc1c[nH]c2ncnc(N3CCN(C(=Nc4cccc(C(=O)NCCO)c4)NC#N)C(C)C3)c12,19.43795
146370834,Cc1cc(-c2cc(CNC3=NCCN3)cc(C(=O)NCc3cc(F)cc(Cl)c3)c2)ccn1,19.434269
124184904,CN1CCC2(CC1)C(=O)N(C)c1ccc(-c3ccc(CC(C#N)NC(=O)C4NC5CCC4C5)c(F)c3)cc12,19.41484
5330287,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(C)(NCC(=O)O)C(=O)N3CCCC3)ccc21,19.388346
146371157,Cc1cc(CNC(=O)c2cc(CNC3=NCCC3)cc(-c3ccc(F)cc3C)c2)ccc1Cl,19.36276
11632945,Nc1ccccc1NC(=O)c1ccc(CN(CCO)Cc2ccc(F)c(F)c2)cc1,19.317917
24991002,Cc1cc(CC(CCCCNCc2ccc(Cl)cc2)C(=O)NO)cc(C)c1F,19.310785
46836227,Cn1c(CCCCCCC(=O)NO)nc2cc(N(CCCl)CCCl)ccc21,19.309181
140762568,Cc1cc(Cl)cc(N2C=Nc3cc(C)c(-c4cc(F)cc(C(N)=O)c4)cc3C2C(=O)N(C)CC2CCCN2)c1,19.307991
46174525,Cc1ccc(C(=O)NCCCCCC(=O)Nc2ccc(F)cc2N)cc1,19.306026
446804,Cn1c(CCC(=O)Nc2ccc3ccn(CCC(CO)n4cnc(C(N)=O)c4)c3c2)nc2ccccc21,19.288559
146011864,Cc1cc(NC2NN(C3(CC#N)CCCCC3F)C3CCNC(=O)C23)ccc1C(=O)N1CCSCC1,19.281958
146370738,Cc1cnc(F)c(-c2cc(CNC3=NCCN3)cc(C(=O)NCc3ccc(Cl)c(C)c3)c2)c1,19.267467
146370933,Cc1cc(CNC(=O)c2cc(CNC3=NCCN3)cc(-c3cnc(F)c(C)c3)c2)ccc1Cl,19.267467
146370990,Cc1cc(CNC(=O)c2cc(CNC3=NCCN3)cc(-c3ccc(F)nc3C)c2)ccc1Cl,19.267467
134212413,Cn1ccc2c(C(Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C(F)F)CC4)NN3)cccc2c1=O,19.26373
10896771,N=C(N)c1ccc(CNC(=O)C2CCCN2C(=O)C(NCC(=O)O)C(c2ccccc2)c2ccccc2)s1,19.26299
118045847,CNCC(NC(=O)c1ccc(-c2nc(C3CCC(O)C(F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,19.258492
54581015,Cc1cc(CC(CCCCNCc2ccc(Cl)cc2)C(=O)NO)ccc1F,19.242973
157766357,Cn1ccc2c(C(Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C(F)(F)F)c4c3)C3=CN(C4(C)CC4)NN3)cccc2c1=O,19.24085
154402487,N#Cc1ccc(N2CCN(C3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)c(F)c1,19.233553
135565674,CCCCCCOC(=O)N=C(N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,19.230597
3111187,CC1CC(=O)NN=C1c1ccc(N)c([N+](=O)[O-])c1,19.22539
129244901,CCN(CC)CCCc1cccc2c1[nH]c1c3ccc4ccn(C)c4c3c3c(c21)C(=O)NC3=O,19.22197
2826530,O=C1c2cccc3cc([N+](=O)[O-])cc(c23)C(=O)N1NCCO,19.214788
67183562,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CCc2ccccc2)C(=O)CO)c1,19.212078
67183680,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(Cc2ccccc2)C(=O)CO)c1,19.212078
67184545,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CCCc2ccccc2)C(=O)CO)c1,19.212078
6476912,COc1ccc(C2=NN(Cc3ccc(O)cc3)C(=O)C3CCCCC23)cc1OC,19.208008
3086453,CCCCC(NC(=O)C(Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)OC(C)(C)C)C(=O)NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCC)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,19.206358
10175810,COC1C=CC=C(C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CN4CCc5ccccc5C4)cc3)=C(CC(C)CC(OC)C(O)C(C)C=C(C)C1OC(N)=O)C2=O,19.205845
25007684,Cc1cc(CNCCCCC(Nc2cc(C)c(F)c(C)c2)C(=O)NO)ccc1F,19.203203
5330782,Cn1ccc2ccc3c4[nH]c5c(CCN6CCSCC6)cccc5c4c4c(c3c21)C(=O)NC4=O,19.178509
56645961,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)CNc1ccc(C#N)cc1)c1cccc(F)c1,19.164455
67184580,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CC2CCCC2)C(=O)CO)c1,19.160063
67183538,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CC2CCCCC2)C(=O)CO)c1,19.160063
11177596,N#Cc1c(F)cccc1N1CCN(CCCCc2c[nH]c3ccc(C(N)=O)cc23)CC1,19.15506
24871537,Cc1cc(NC(CCCCNCc2cccc(F)c2)C(=O)NO)cc(C)c1F,19.143497
25007687,Cc1cc(NC(CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,19.143497
52945883,Cc1cc(NC(CCCCNCc2ccccc2F)C(=O)NO)cc(C)c1F,19.143497
135565545,Cn1cc(-c2[nH]c3cc(NC(=O)C(N)C4CCCCC4)cc4c3c2C=NNC4=O)cn1,19.139864
11460732,C=CC(=O)Nc1cccc(-c2c[nH]cc2CN(C)CCN)c1,19.135582
139208788,CC(=O)N1CCC(CC2CNNC2c2cc3c(cc2F)N(C)C(=O)CC3)CC1,19.125187
165112208,Cn1c(=O)sc2cc(-c3ccc(C(=O)N4CCC(N)C4)cc3-c3ccc(C#N)c(F)c3)c(F)cc21,19.122303
44290947,Cn1c(=O)sc2cc(-c3ccc(C(=O)N4CCC(N)C4)cc3-c3ccc(C#N)c(F)c3)ccc21,19.122303
71202307,NC1=NC2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)CC2CCS1,19.118956
118046266,NCC(NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1ccccc1,19.11451
54582964,Cc1cc(NC(CCCCNCc2ccc(F)cc2)C(=O)NO)ccc1F,19.111513
10328378,CNC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(CC1CCCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCN=C(N)N)C(=O)O,19.103657
166774,O=C1Nc2ccc(Br)cc2C(c2ccccn2)=NC1O,19.095936
44389684,CC1CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC(N)C1=NO,19.067486
54709833,CN(C(=O)CS(C)(=O)=O)C1CCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O,19.066097
73348907,COCCN(Cc1cc(F)cc2[nH]ncc12)c1nccc(Nc2cc(C3CC3)[nH]n2)n1,19.054356
9549870,NC(=O)CC1NC(=O)c2cc([N+](=O)[O-])cc(F)c2NCCCCC(C(N)=O)NC(=O)C(CO)NC1=O,19.05332
118679202,N#Cc1ccc(N2CCN(C3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)cc1,19.052761
53238781,CC1CCC(C(=O)O)=C(NC(=O)C(N)Cc2nc(-c3ccc(F)cn3)no2)C1,19.046965
162381323,C=CC(=O)N1CC(n2nc(C#Cc3c(F)cc4c(ncn4C4CC4)c3F)c(C(N)=O)c2NC)CC1COC,19.04037
124122366,Cc1cnc(NC2CCOCC2)nc1-n1cnc(C(=O)NC(CN)c2cc(F)cc(Cl)c2)c1,19.039309
11016071,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NC3CCC3)c2=O)cc1,19.034918
124081363,COCC(=O)NC1C(C)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC1N,19.033567
11192346,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C,19.03016
135506856,Nc1nc2c(ncn2COCCOC(=O)c2ccccc2)c(=O)[nH]1,19.025476
