PubChem_ID,Structure_SMILES,QED,MolecularVolume,SurfaceArea,RadiusOfGyration,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,Predicted_pIC50
46230228,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)cn23)ccc1F)N1CCCNCC1,0.706656015,402.1258818,450.4430937,4.633827926,402.857,2.4464,2,4,3,4,2095,150,69.61,1.649915493,18.71075724,7.770731455,3.676837768,18.74503153
136242934,CC12CCCN1CC1=NNC(=O)c3cccc4[nH]c2c1c34,0.774473192,280.1324111,334.6729936,3.142237051,280.331,1.94,2,3,0,5,735,130,60.49,1.949178554,11.51203617,3.541892501,1.253759958,18.72273657
135565554,CC12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,0.78204354,298.1229893,336.5296109,3.30991752,298.321,2.0791,2,3,0,5,840,136,60.49,1.950071244,12.34555078,3.756045097,1.313532885,18.63596243
76683569,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2C(=O)N(Cc3ccccc3)C(=O)C2C1,0.416125394,510.1703334,583.4838167,5.123660616,510.525,2.9102,1,5,5,6,5101,212,103.44,1.205892259,23.72145968,9.332653683,4.055673188,18.62847518
44289877,CNC(=O)c1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,0.514956707,437.2227034,540.2363658,6.114658352,437.519,2.3638,3,5,6,4,3672,168,94.46,1.291296434,21.82738352,9.398012347,4.750895343,18.62057232
46230332,CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,0.582628553,506.1287742,560.2477336,5.379167686,507.393,3.9948,1,4,3,4,3728,186,77.89,1.552802762,24.28982575,9.074786827,4.566473501,18.61453502
154402487,N#Cc1ccc(N2CCN(C3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)c(F)c1,0.598875317,447.1870668,505.6963167,5.904577188,447.489,3.62818,2,5,3,5,3623,182,89.15,1.314732825,21.16177168,8.336346533,3.960839847,18.60172804
118679197,N#Cc1ccc(N2CCN(C3C=C(c4cc5c(N)cccc5c(=O)[nH]4)CC3)CC2)cc1,0.645418867,411.2059104,506.4512864,5.645038464,411.509,3.34998,2,5,3,5,3079,170,89.15,1.298068417,19.40626394,7.934347963,3.687884174,18.57962529
53472683,Cc1cc(CC(NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12,0.297764606,638.3692873,811.0725182,6.659396895,638.817,3.45152,3,6,6,7,9168,258,120.67,1.028023804,31.38297129,13.48515587,6.775790187,18.57880874
126483592,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,0.637413245,405.1964886,485.3037845,5.366639394,405.477,2.87588,2,5,5,4,3023,158,89.15,1.309966821,19.92530949,8.555526968,4.288434013,18.57248839
145949176,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,0.327299683,505.1561606,545.1312031,5.671717827,505.481,3.6627,1,6,5,5,4864,200,112.44,1.340397397,24.04338987,9.763955815,4.749507589,18.56078775
118679202,N#Cc1ccc(N2CCN(C3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)cc1,0.622439767,429.1964886,505.778869,5.712474411,429.499,3.48908,2,5,3,5,3363,176,89.15,1.307026613,20.28259561,8.134725118,3.739538162,18.55693553
130292391,CCC(=O)N1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CC1CC,0.624532507,466.2016336,564.0229808,5.209306502,466.513,2.3502,1,5,5,4,3602,180,95.48,1.621157009,23.40959071,9.623882347,4.374333694,18.54790396
126483567,NC(=O)c1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,0.52640785,423.2070533,507.5361324,5.569270061,423.492,2.1031,3,5,6,4,3332,164,108.45,1.301511615,20.86553365,8.769999831,4.691639772,18.54740492
168206990,NC1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,0.64093006,392.2012396,497.921324,5.176163046,392.478,3.183,3,3,3,5,2364,162,74.15,1.470134238,18.33629274,7.280088593,3.427874736,18.52879063
25132954,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2ncccn2)CC1,0.519516108,444.1710021,512.5125981,5.470880876,444.47,2.4054,1,6,4,5,3502,178,95.08,1.34782244,20.74547737,8.775012427,4.167785973,18.51918796
90460830,CCC1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC1CC1,0.60865688,464.222369,576.7024563,4.654587731,464.541,2.8236,1,5,6,5,3630,186,78.41,1.393927843,22.5281829,9.176174061,4.419463651,18.49483185
146371105,Cc1nc2nc(CN3CCN(c4ccccc4)CC3)[nH]n2c(=O)c1Cc1cccc(Cl)c1F,0.487737355,466.1684153,536.2832507,5.303731694,466.948,3.43152,1,6,5,5,3617,180,69.53,1.332418538,21.60709777,8.956871423,4.359518807,18.42034713
2398,Cn1cc(C2=C(c3cn(CCN)c4ccccc34)C(=O)NC2=O)c2ccccc21,0.530897907,384.1586259,474.2746109,3.763387252,384.439,2.6589,2,5,4,5,2003,164,82.05,1.845025616,17.45788847,6.460659743,2.531644457,18.41047515
